gene_id,transcript_id
ENSG00000116237,ENST00000343813
ENSG00000162413,ENST00000377658
ENSG00000171603,ENST00000361311
ENSG00000160049,ENST00000377036
ENSG00000065526,ENST00000375759
ENSG00000117118,ENST00000375499
ENSG00000053371,ENST00000235835
ENSG00000076864,ENST00000290101
ENSG00000070831,ENST00000315554
ENSG00000133216,ENST00000374627
ENSG00000007968,ENST00000361729
ENSG00000117308,ENST00000374497
ENSG00000169504,ENST00000374379
ENSG00000183726,ENST00000374358
ENSG00000117632,ENST00000357865
ENSG00000117682,ENST00000236342
ENSG00000175793,ENST00000339276
ENSG00000142784,ENST00000319394
ENSG00000117748,ENST00000313433
ENSG00000084652,ENST00000373609
ENSG00000054116,ENST00000373159
ENSG00000214114,ENST00000397572
ENSG00000127603,ENST00000289893
ENSG00000084072,ENST00000324379
ENSG00000198815,ENST00000361346
ENSG00000117395,ENST00000236051
ENSG00000117399,ENST00000310955
ENSG00000142949,ENST00000359947
ENSG00000117408,ENST00000372339
ENSG00000132768,ENST00000255108
ENSG00000117410,ENST00000236067
ENSG00000142945,ENST00000372217
ENSG00000086015,ENST00000361297
ENSG00000117461,ENST00000262741
ENSG00000132128,ENST00000343304
ENSG00000079277,ENST00000341183
ENSG00000159658,ENST00000371933
ENSG00000085840,ENST00000371566
ENSG00000116171,ENST00000371509
ENSG00000177606,ENST00000371222
ENSG00000162607,ENST00000339950
ENSG00000079739,ENST00000371083
ENSG00000116717,ENST00000370985
ENSG00000116791,ENST00000340866
ENSG00000153936,ENST00000356813
ENSG00000154511,ENST00000370310
ENSG00000143033,ENST00000370298
ENSG00000067334,ENST00000359208
ENSG00000162627,ENST00000306121
ENSG00000162688,ENST00000294724
ENSG00000117620,ENST00000370153
ENSG00000134222,ENST00000369903
ENSG00000213366,ENST00000241337
ENSG00000162777,ENST00000357640
ENSG00000213281,ENST00000369535
ENSG00000116815,ENST00000369487
ENSG00000092621,ENST00000369407
ENSG00000184678,ENST00000369155
ENSG00000143409,ENST00000312210
ENSG00000213190,ENST00000368921
ENSG00000163159,ENST00000354473
ENSG00000159352,ENST00000368881
ENSG00000143390,ENST00000290524
ENSG00000196154,ENST00000354332
ENSG00000189171,ENST00000339556
ENSG00000143624,ENST00000318967
ENSG00000143554,ENST00000271857
ENSG00000160691,ENST00000366442
ENSG00000185499,ENST00000337604
ENSG00000132680,ENST00000368319
ENSG00000116584,ENST00000313667
ENSG00000158793,ENST00000368007
ENSG00000143224,ENST00000352210
ENSG00000118217,ENST00000367942
