drug1,drug2,cell,label
5-FU,ABT-888,A2058,7.693530166
5-FU,ABT-888,A2780,7.77805306
5-FU,ABT-888,A375,-1.198505438
5-FU,ABT-888,A427,2.595684438
5-FU,ABT-888,CAOV3,-5.139971221
5-FU,ABT-888,ES2,1.498650452
5-FU,ABT-888,HCT116,9.463280869
5-FU,ABT-888,HT144,-3.701354746
5-FU,ABT-888,HT29,10.17343391
5-FU,ABT-888,KPL1,2.157004428
5-FU,ABT-888,LNCAP,1.632631585
5-FU,ABT-888,LOVO,-8.979213946
5-FU,ABT-888,MDAMB436,6.899259995
5-FU,ABT-888,MSTO,-1.793073865
5-FU,ABT-888,NCIH1650,-5.996370297
5-FU,ABT-888,NCIH2122,7.890256814
5-FU,ABT-888,NCIH23,-5.042652306
5-FU,ABT-888,NCIH460,-6.611947917
5-FU,ABT-888,NCIH520,3.698834848
5-FU,ABT-888,OV90,-10.06884761
5-FU,ABT-888,RKO,-2.677587786
5-FU,ABT-888,RPMI7951,-2.17322193
5-FU,ABT-888,SKMEL30,-36.45922958
5-FU,ABT-888,SKMES1,-0.086424579
5-FU,ABT-888,SKOV3,5.077177384
5-FU,ABT-888,SW620,0.108107719
5-FU,ABT-888,SW837,-14.52310863
5-FU,ABT-888,T47D,17.48579545
5-FU,ABT-888,UACC62,-1.583963783
5-FU,ABT-888,VCAP,1.096102762
5-FU,ABT-888,ZR751,-8.675317044
5-FU,AZD1775,A2058,13.05268744
5-FU,AZD1775,A2780,11.27727295
5-FU,AZD1775,A375,2.705127546
5-FU,AZD1775,A427,7.494061098
5-FU,AZD1775,CAOV3,23.98617954
5-FU,AZD1775,ES2,10.05752609
5-FU,AZD1775,HCT116,13.96127138
5-FU,AZD1775,HT144,6.065389002
5-FU,AZD1775,HT29,-2.712205241
5-FU,AZD1775,KPL1,-2.061161349
5-FU,AZD1775,LNCAP,9.970389407
5-FU,AZD1775,LOVO,-4.001507328
5-FU,AZD1775,MDAMB436,23.3811342
5-FU,AZD1775,MSTO,-32.99061919
5-FU,AZD1775,NCIH1650,10.77339767
5-FU,AZD1775,NCIH2122,4.317888565
5-FU,AZD1775,NCIH23,-7.115899185
5-FU,AZD1775,NCIH460,13.58269769
5-FU,AZD1775,NCIH520,2.57870858
5-FU,AZD1775,OV90,-3.193651947
5-FU,AZD1775,RKO,19.33320151
5-FU,AZD1775,RPMI7951,16.72201512
5-FU,AZD1775,SKMEL30,2.288718888
5-FU,AZD1775,SKMES1,33.3532584
5-FU,AZD1775,SKOV3,18.74496394
