Epoch	AUC_dev	PR_AUC	ACC	BACC	PREC	TPR	KAPPA	RECALL
0	0.517935505319149	0.7152274562860559	0.6901197604790419	0.5206560283687943	0.7278797996661102	0.9083333333333333	0.05116240770729841	0.9083333333333333
1	0.6011303191489361	0.7907185843287916	0.6901197604790419	0.5028590425531915	0.7198067632850241	0.93125	0.007408045481953729	0.93125
2	0.6319425975177304	0.8083262998244303	0.6721556886227545	0.5340425531914894	0.7351351351351352	0.85	0.07748770336738542	0.85
3	0.6395611702127659	0.8155985658465374	0.6856287425149701	0.5045877659574468	0.7205882352941176	0.91875	0.011667230300980713	0.91875
4	0.6483100620567377	0.8230651224831839	0.6916167664670658	0.5297872340425532	0.7322033898305085	0.9	0.07247236451873817	0.9
5	0.652199689716312	0.8255036775513194	0.6616766467065869	0.5914671985815603	0.7713675213675214	0.7520833333333333	0.17945038699017313	0.7520833333333333
6	0.6651152482269503	0.8317585758617638	0.6467065868263473	0.6247340425531915	0.801980198019802	0.675	0.22215204863029914	0.675
7	0.6659408244680851	0.8318098924905835	0.6212574850299402	0.6377659574468084	0.8252148997134671	0.6	0.22734670738620777	0.6
8	0.6717974290780142	0.8342476445098601	0.5763473053892215	0.6307845744680851	0.8408304498269896	0.50625	0.19982053061984673	0.50625
9	0.6724900265957446	0.8338609408422133	0.6017964071856288	0.6339317375886525	0.8302469135802469	0.5604166666666667	0.21388122035817936	0.5604166666666667
