drug1,drug2,cell,score,nor,index,true_label,predict_label,predict_score,smile1,smile2
5-FU,ABT-888,A375,-1.198505438,0.6433421,0,0,0,0.000918293,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,CAOV3,-5.139971221,0.6355463,1,0,1,0.944773078,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,HT144,-3.701354746,0.6383917,2,0,0,4.56E-08,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,HT29,10.17343391,0.6658346,3,1,0,4.63E-07,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,LOVO,-8.979213946,0.6279526,4,0,0,9.00E-06,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,MSTO,-1.793073865,0.6421661,5,0,0,5.31E-08,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,NCIH1650,-5.996370297,0.6338524,6,0,0,2.53E-13,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,NCIH23,-5.042652306,0.6357388,7,0,0,7.71E-19,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,NCIH460,-6.611947917,0.6326349,8,0,0,8.59E-09,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,OV90,-10.06884761,0.6257975,9,0,0,9.98E-14,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,RKO,-2.677587786,0.6404166,10,0,0,0.000645238,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,RPMI7951,-2.17322193,0.6414142,11,0,0,9.72E-05,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,SKMEL30,-36.45922958,0.5736,12,0,0,4.31E-05,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,SKMES1,-0.086424579,0.6455417,13,0,0,0.00803296,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,SW837,-14.52310863,0.6169874,14,0,0,2.99E-19,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,T47D,17.48579545,0.6802977,15,1,0,0.009959722,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,UACC62,-1.583963783,0.6425797,16,0,0,3.77E-07,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,ABT-888,ZR751,-8.675317044,0.6285537,17,0,0,8.23E-16,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
5-FU,AZD1775,A2058,13.05268744,0.6715295,18,1,1,0.998187363,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,A2780,11.27727295,0.6680179,19,1,1,0.927058578,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,CAOV3,23.98617954,0.6931548,20,1,1,0.968179226,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,ES2,10.05752609,0.6656053,21,1,0,0.001589087,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,HCT116,13.96127138,0.6733266,22,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,HT29,-2.712205241,0.6403481,23,0,1,0.722142875,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,KPL1,-2.061161349,0.6416358,24,0,1,0.726284742,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,LOVO,-4.001507328,0.637798,25,0,0,3.36E-06,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,MDAMB436,23.3811342,0.6919581,26,1,1,0.999969721,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,MSTO,-32.99061919,0.5804606,27,0,0,0.001933519,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,NCIH1650,10.77339767,0.6670213,28,1,1,0.998538852,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,NCIH23,-7.115899185,0.6316381,29,0,1,0.99475199,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,NCIH460,13.58269769,0.6725778,30,1,1,0.96752888,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,OV90,-3.193651947,0.6393959,31,0,0,8.59E-07,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,RKO,19.33320151,0.6839517,32,1,0,0.000594113,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,RPMI7951,16.72201512,0.678787,33,1,1,0.999456227,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,SKMES1,33.3532584,0.7116819,34,1,1,0.999999523,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,SKOV3,18.74496394,0.6827882,35,1,1,0.999994755,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,T47D,10.0383629,0.6655674,36,1,1,0.915249825,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,UACC62,11.45935053,0.668378,37,1,1,0.998006761,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,AZD1775,VCAP,-0.998327533,0.643738,38,0,1,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
5-FU,BEZ-235,A2058,13.6791116,0.6727685,39,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,HT29,11.89580272,0.6692413,40,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,KPL1,16.46284909,0.6782744,41,1,1,0.999999046,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,LNCAP,55.29129934,0.7550731,42,1,1,0.999960899,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,MDAMB436,18.97429236,0.6832418,43,1,1,1,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,MSTO,-8.321116212,0.6292543,44,0,1,0.544903874,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
5-FU,BEZ-235,NCIH1650,17.63815521,0.680599,45,1,1,0.999945045,O=c1[nH]cc(F)c(=O)[nH]1,Cn1c(=O)n(-c2ccc(C(C)(C)C#N)cc2)c2c3cc(-c4cnc5ccccc5c4)ccc3ncc21
